Id,Designator,Footprint,Quantity,Designation,Supplier and ref
31,"U31,U19",SOIC-8_3.9x4.9mm_P1.27mm,2,~,https://www.mouser.de/ProductDetail/Texas-Instruments/TPS2034D?qs=ojKcPFmCWSVEaePd2t2AFw%3D%3D
32,"U40,U39,U38,U36",SOIC-14_3.9x8.7mm_P1.27mm,4,4011,https://www.mouser.de/ProductDetail/Texas-Instruments/CD4011UBM96?qs=sGAEpiMZZMutXGli8Ay4kHA27jkV8RqM8pET9rbhsMI%3D
33,"C31,C32,C48,C49",C_0805_2012Metric,4,20pF,https://www.mouser.de/ProductDetail/KYOCERA-AVX/0805YA200KAT2A?qs=qVfB0%2FDaMDaSgbPU%2FWelyw%3D%3D
34,"U35,U23",LQFP-64_10x10mm_P0.5mm,2,STM32L476RGTx,https://www.mouser.de/ProductDetail/STMicroelectronics/STM32L476RGT6TR?qs=U58vgkJzipTiakqBcdeU%252Bg%3D%3D
35,"K5,K6",Relay_SPDT_Omron_G2RL-1,2,G2RL-1-H,https://www.mouser.de/ProductDetail/Omron-Electronics/G2RL-1-H-DC12?qs=klwcjURwZT1nIZ%252BpXb87pQ%3D%3D&srsltid=AfmBOoqyY6rLdiq5ARbJmbBbMgaeuNPLiDR60-zbZeOpftD41G1AhSYL
36,"Q20,Q12",TO-252-2,2,NTD3055,https://www.mouser.de/ProductDetail/onsemi/STDV3055L104T4G?qs=OycAS1CGnlhaVh2oVnWtIA%3D%3D
37,"C55,C38",C_0805_2012Metric,2,4.7�F,https://www.mouser.de/ProductDetail/Samsung-Electro-Mechanics/CL21A475KOFNNNE?qs=yOVawPpwOwlqsH7zjiqEfQ%3D%3D
38,"R20,R34",R_0805_2012Metric,2,120,
,,,,,
,,,,,
41,"U12,U9",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2551-I-SN,https://www.mouser.de/ProductDetail/Microchip-Technology/MCP2551-I-SN?qs=9y3LFqDLL8L5zFfqqxdOHg%3D%3D
42,"R67,R68",R_0805_2012Metric,2,380,https://www.mouser.de/ProductDetail/Panasonic/ERJ-P06F3830V?qs=sGAEpiMZZMtlubZbdhIBIK7FbVYKWV6W%2F1%2FnmbkWalo%3D
,,,,,
,,,,,
,External,,,BH1750FVI,https://www.amazon.de/ARCELI-Lichtsensormodul-Intensit%C3%A4tsbeleuchtung-Lichtsensor-Lichtkugel/dp/B0CHM7R8YM/ref=asc_df_B0CHM7R8YM/?tag=googshopde-21&linkCode=df0&hvadid=696220738971&hvpos=&hvnetw=g&hvrand=18339532007746552503&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9042382&hvtargid=pla-2293751920304&psc=1&mcid=ac36f9a0a2f0324bbdbbdbc0b8980544&th=1&psc=1&gad_source=1
,"J1,J2,J3,J4,J5,J6,J7,J8,J13,J17,J21",6432101004,,Conn_01x04,https://www.mouser.de/ProductDetail/Wurth-Elektronik/643230100404?qs=Jm2GQyTW%2FbiT30H8AtE%2FuA%3D%3D&srsltid=AfmBOorlqbhXMq1YpWx9v0H5psoWcdArHWNhFpVnELh_AYb8ZSCTn1zc
,"J9,,J12,J17,J20",662102145021,,,https://www.mouser.de/ProductDetail/Wurth-Elektronik/662102145021?qs=XM2fbPZHeBjt1BOeqvQ%2FEw%3D%3D
