,,,,,
,,,,,
,MOUSER,,,,
,,,,,
Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,U23,LQFP-64_10x10mm_P0.5mm,1,STM32L476RGTx,https://www.mouser.de/ProductDetail/STMicroelectronics/STM32L476RGT6?qs=o58qnh%2FCpu44V%252B7CaDZzCA%3D%3D
4,R33,R_0805_2012Metric,1,0,https://www.mouser.de/ProductDetail/Vishay-Draloric/RCA08050000ZSEC?qs=sGAEpiMZZMtlubZbdhIBICkZD26Dv0dBF8vbjjT8CPE%3D
5,"C16,C3",C_0603_1608Metric,2,0.1µF,https://www.mouser.de/ProductDetail/YAGEO/CC0603KRX7R8BB104?qs=sGAEpiMZZMvsSlwiRhF8qj9NgEuXmwzvrkjJ%252BgSm7QM%3D
6,"Q6,Q4,Q5",SOT-23,3,Q_NMOS_Depletion_GSD,https://www.mouser.de/ProductDetail/Infineon-Technologies/IRLML6344TRPBF?qs=9%252BKlkBgLFf2w4qS48UOXVw%3D%3D
7,"C19,C18,C2,C1",C_0603_1608Metric,4,1µF,https://www.mouser.de/ProductDetail/YAGEO/CC0603KRX5R8BB105?qs=sGAEpiMZZMvsSlwiRhF8qsQT4vDixbP6%252BylxMuymhKU%3D
,,,,,
9,"R58,R6,R4,R2",R_0805_2012Metric,4,10k,https://www.mouser.de/ProductDetail/YAGEO/RT0805BRD0710KL?qs=87%2Fgv35YuOdOfU%252BBkLDVxA%3D%3D
11,"R3,R5",R_0805_2012Metric,2,1k,https://www.mouser.de/ProductDetail/Vishay/TNPW08051K00FEEA?qs=4CveT0Ftx0oXPRWW%252BDtRJw%3D%3D
13,U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3051,https://www.mouser.de/ProductDetail/Analog-Devices-Maxim-Integrated/MAX3051ESA%2b?qs=CDqwynd4ZNpXRaQ90S7BzQ%3D%3D
15,D2,D_SOD-323,1,TVS,https://www.mouser.de/ProductDetail/Diodes-Incorporated/SD24-7?qs=gZXFycFWdANpSQe3CC9Y5w%3D%3D
16,"J5,J4",RJ45_Amphenol_RJHSE5380,2,RJ45,https://www.digikey.de/de/products/detail/amphenol-cs-commercial-products/RJHSE-5380/1242692?srsltid=AfmBOooOj_UKjsPxkWBArV_SARWtqKj68jMkgc16v4rA9ceM9bieNaPd
